code,name,market,ticker,as_of,beta60,alpha60,er60,beta120,alpha120,er120,beta240,alpha240,er240
9934,成霖企業股份有限公司,TWSE,9934.TW,2026-08-26,0.2808,0.5937,0.0549,0.2351,0.2601,0.1961,0.256,-0.0229,0.1969
9935,慶豐富實業股份有限公司,TWSE,9935.TW,2026-08-26,0.2451,0.5215,0.0498,0.2454,0.1961,0.204,0.263,-0.129,0.2019
9937,全國加油站股份有限公司,TWSE,9937.TW,2026-08-26,0.0016,0.1405,0.0152,-0.0679,0.0385,-0.0373,-0.0228,-0.0456,-0.0012
9938,台灣百和工業股份有限公司,TWSE,9938.TW,2026-08-26,0.2132,0.1461,0.0453,0.2406,-0.3428,0.2003,0.2754,-0.3502,0.2107
9939,宏全國際股份有限公司,TWSE,9939.TW,2026-08-26,0.0266,0.5225,0.0188,0.0671,0.3111,0.0667,0.1029,-0.0289,0.0881
9940,信義房屋股份有限公司,TWSE,9940.TW,2026-08-26,-0.0079,0.4676,0.0139,0.0248,0.0808,0.0341,0.0643,-0.1525,0.0607
9941,裕融企業股份有限公司,TWSE,9941.TW,2026-08-26,0.155,0.655,0.037,0.1195,0.3058,0.1071,0.1037,-0.1727,0.0887
9942,茂順密封元件科技股份有限公司,TWSE,9942.TW,2026-08-26,0.2154,0.033,0.0456,0.2214,-0.0355,0.1856,0.2295,-0.0471,0.1781
9943,好樂迪股份有限公司,TWSE,9943.TW,2026-08-26,0.0133,-0.0339,0.0169,0.099,-0.1444,0.0913,0.1037,-0.2643,0.0887
9944,新麗企業股份有限公司,TWSE,9944.TW,2026-08-26,0.0861,0.2157,0.0272,0.0511,0.1228,0.0544,0.0487,0.0309,0.0496
9945,潤泰創新國際股份有限公司,TWSE,9945.TW,2026-08-26,0.1299,1.0365,0.0335,0.1646,0.0591,0.1418,0.1801,-0.083,0.143
9946,三發地產股份有限公司,TWSE,9946.TW,2026-08-26,0.1439,0.6286,0.0354,0.169,0.2125,0.1452,0.1988,-0.0831,0.1563
9955,佳龍科技工程股份有限公司,TWSE,9955.TW,2026-08-26,0.5209,-0.6484,0.089,0.5392,-1.0067,0.4304,0.545,-0.4618,0.4023
9958,世紀鋼鐵結構股份有限公司,TWSE,9958.TW,2026-08-26,0.5411,-0.2307,0.0919,0.6352,-0.7394,0.5043,0.6599,-1.0728,0.4839
1240,茂生農經股份有限公司,OTC,1240.TWO,2026-08-26,0.1166,0.2694,-0.0276,0.0792,0.0249,0.0726,0.09,-0.0241,0.0619
1259,安心食品服務股份有限公司,OTC,1259.TWO,2026-08-26,-0.0019,0.5007,0.0157,-0.0298,0.1987,-0.0067,0.0264,0.121,0.0288
1264,德麥食品股份有限公司,OTC,1264.TWO,2026-08-26,0.0481,0.0169,-0.0026,0.0558,-0.1286,0.0556,0.049,-0.1535,0.0405
1268,漢來美食股份有限公司,OTC,1268.TWO,2026-08-26,0.0925,0.3443,-0.0188,0.0871,0.219,0.0783,0.0997,0.1333,0.067
1294,漢田生技股份有限公司,OTC,1294.TWO,2026-08-26,0.2868,-0.344,-0.0898,0.2061,-0.3776,0.1649,0.1578,-0.1725,0.0973
1295,生合生物科技股份有限公司,OTC,1295.TWO,2026-08-26,0.3168,-0.1522,-0.1007,0.2512,-0.9734,0.1977,0.3319,-1.2201,0.188
1336,台翰精密科技股份有限公司,OTC,1336.TWO,2026-08-26,0.4095,1.1993,-0.1346,0.3502,0.1145,0.2697,0.3711,-0.2056,0.2085
1565,精華光學股份有限公司,OTC,1565.TWO,2026-08-26,0.1858,0.1668,-0.0529,0.2028,-0.331,0.1625,0.248,-0.5543,0.1443
